part q_max time 
1.446 14.6617 120
100.03 4.82484 60.0776
3.474 5.99919 120
1.643 8.39315 120
21.806 11.262 120
0.926 5.7827 120
0.876 7.75372 120
2.676 3.76026 120
12.469 5.35062 120
0.452 9.47312 120
57.987 22.3736 120
100.032 10.3708 60.0288
100.017 27.575 70.2624
74.21 16.8053 120
100.003 3.16685 77.6556
100.05 3.37124 64.1868
73.551 9.89682 120
100.002 1 60.1642
0.043 3.35237 120
100.015 13.3634 66.7335
14.323 15.7594 120
0.5 14.1146 120
100.016 4.50983 71.2761
100.016 12.4852 78.168
100.02 9.9312 64.4899
1.947 1 120
100.003 1 60.0103
1.947 12.3358 120
11.26 1 120
26.951 10.9844 120
13.653 2.12468 120
3.137 5.14914 120
100.044 15.9178 60.098
100.02 13.8782 60.3215
100.02 8.8799 68.5718
100.011 9.07431 79.4058
100.019 14.4477 67.1587
2.209 6.28475 120
1.082 8.64574 120
100.004 13.6475 65.3664
100.009 11.362 60.0806
21.22 1 120
36.102 14.4062 120
100.002 4.61881 72.4763
39.454 10.9216 120
100.011 9.35624 72.526
100.014 8.15159 67.4428
100.016 15.3208 60.0498
0.018 28.4133 120
0 10.4268 120
100.016 20.8465 62.6559
100.005 24.029 60.7613
100.024 9.04372 60.0845
49.21 8.21192 120
0 1 120
94.943 8.54007 120
100.003 10.9218 63.8244
100.011 21.8901 60.0362
100.027 9.9996 60.0167
100.02 15.8897 65.0692
95.363 15.1827 120
100.027 6.19436 60.0407
100.026 15.3631 60.0787
46.934 2.8469 120
100.038 9.68553 60.1666
0.083 16.2514 120
0.005 8.0275 120
32.272 14.2678 120
100.012 5.5901 60.0094
31.573 13.174 120
47.58 12.8205 120
100.002 13.1218 107.876
100.007 13.8525 66.6535
99.986 1 59.9918
98.752 1.81258 120
0.72 5.26597 120
32.954 3.44871 120
99.998 7.04861 64.0301
100.008 4.9121 73.7688
100.021 6.81644 118.515
0.353 15.5535 120
98.268 4.2683 120
100.009 8.27561 60.0288
96.785 17.6055 120
100.006 8.34378 60.0395
100.025 15.5376 60.0315
56.491 9.7591 120
100.006 10.4008 76.4582
100.012 15.2342 63.3203
0.049 13.3352 120
84.313 6.50619 120
0 8.58302 120
100.015 4.67573 64.1989
100.033 1 109.573
0 13.3438 120
0 8.1905 120
100.001 20.5019 96.7106
0.002 11.0579 120
100.031 15.7794 60.0237
63.162 15.353 120
100.026 13.3596 62.8124
100.008 23.1804 92.9401
100.007 8.35105 70.3011
